la plus; la plus; la plus; 
le plus;le plus;le plus;le plus;
avoir la cuisse hospitalière;expression idiomatique;corps humain;comportement;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la vie dure;collocation;la vie/la mort;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir l'esprit pratique;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le sens pratique;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le cœur gai;collocation;corps humain;sensations/sentiments;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le cœur fragile;collocation;corps humain;sensations/sentiments;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le cœur sec;expression idiomatique;corps humain;sensations/sentiments;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir les mains couvertes de bagues;expression verbale figée;corps humain;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
# avoir (+nombre) ans bien sonnés;collocation;temps;;A1;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir un air détaché;collocation;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir un coup dur;expression verbale figée;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le dos tourné;collocation;corps humain;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la tâche facile;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le cerveau lent;collocation;corps humain;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir un besoin pressant;expression idiomatique;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir une idée fixe;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la larme facile;collocation;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la partie belle;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir des jours heureux;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la vie facile;collocation;la vie/la mort;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir l'argent facile;collocation;argent;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir un passage difficile;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le cheveu rare;expression idiomatique;corps humain;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
# avoir (+nombre) années bien sonnés;collocation;temps;;A1;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir l'échine basse;collocation;corps humain;sensations/sentiments;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir l'esprit ailleurs;collocation;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le pied marin;expression idiomatique;corps humain;personnalité;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le bec enfariné;expression idiomatique;corps animal;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le coup de poing facile;expression verbale figée;corps humain;comportement;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la langue pendante;collocation;corps humain;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir une politesse glacée;collocation;comportement;personnalité;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la vue courte;collocation;cinq sens;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la part belle;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la main leste;collocation;corps humain;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le ventre vide;collocation;corps humain;sensations/sentiments;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir un air entendu;collocation;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le couteau facile;expression verbale figée;comportement;objets;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la fibre paternelle;expression idiomatique;personnalité;famille;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir un air affairé;collocation;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir l'esprit large;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
# avoir (+nombre) ans bien comptés;collocation;temps;;A1;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la plume facile;expression idiomatique;corps animal;personnalité;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir les idées claires;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le gosier serré;expression idiomatique;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir les yeux battus;expression idiomatique;corps humain;apparence;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir le bec fin;expression idiomatique;corps animal;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir une idée toute faite;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir un air dégagé;collocation;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
avoir la bouche cousue;expression idiomatique;corps humain;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1_<ENT>Adj1
